entity,time,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8
Big Island Hawaii,1000,4.359996884,-0.173257191,0.415558873,0.057677749,0.268697024,0.216280277,0.280352342,-0.194313268,-0.511809257
Big Island Hawaii,1200,4.241913314,0.07957801,0.622753249,-0.129350297,0.523488276,0.24196122,0.21737453,-0.137670812,-0.206294308
Big Island Hawaii,1300,4.119417099,0.200109147,0.642389291,-0.115053528,0.45172341,0.308687695,0.32524102,-0.251486961,-0.250891682
Big Island Hawaii,1400,3.679006924,0.52109522,0.472534903,0.055925839,0.023229408,0.688905136,0.625842171,0.029396867,-0.19519086
Big Island Hawaii,1500,3.512774909,0.58532316,0.347042225,0.115482842,0.071008644,0.658114721,0.836339915,0.099008073,-0.204679932
Big Island Hawaii,1600,4.228690411,0.097870942,0.560628984,-0.091618689,0.394000431,0.276978094,0.27680533,0.193866779,-0.142044444
Big Island Hawaii,1700,2.548231572,1.022919279,0.102674847,0.433630557,-0.107683012,-0.132681419,-0.083848422,-0.243235947,0.113634359
Big Island Hawaii,1800,2.175076111,1.394078963,0.041747043,0.458857215,-0.158177319,-0.27367174,0.41112227,0.127606269,0.086653927
Cahokia,-600,5.925550583,-1.228218409,-0.476904781,0.650538932,-0.537646555,-0.637738064,-0.165337732,-0.002095837,-0.384716321
Cahokia,-100,5.594683144,-0.770915483,-0.161339486,0.327348077,-0.031686004,-0.611016491,-0.520431071,0.111329649,-0.274484872
Cahokia,300,5.693933571,-0.908871684,-0.267954762,0.439723632,-0.22830115,-0.554125847,-0.321522721,0.042695798,-0.336921667
Cahokia,500,5.711093331,-0.931802564,-0.250592909,0.406390346,-0.127303589,-0.562044129,-0.418238101,0.021414788,-0.317144278
Cahokia,600,5.402220064,-0.540868197,-0.066017333,0.234389031,0.07347267,-0.551244304,-0.587143988,0.211151587,-0.228616506
Cahokia,800,4.677162961,0.198306829,0.018382513,0.291638527,-0.326895628,-0.388402443,-0.260670032,0.229901627,-0.262677885
Cahokia,900,4.116851461,-0.181371569,-0.31592144,0.843173291,0.032960712,-0.18051001,-0.233732462,0.23503336,-0.111702918
Cahokia,1000,3.97542001,-0.094733633,-0.345974675,0.931121272,-0.100795671,-0.466225637,-0.415413192,0.209654591,-0.061025156
Cahokia,1100,2.569778124,1.21634679,-0.236457526,0.923822462,-0.23080846,-0.219215322,0.235234432,0.051263286,-0.158445539
Cahokia,1200,2.55960668,1.220579551,-0.244775779,0.93630679,-0.251438599,-0.258125994,0.210769789,0.073356854,-0.146434458
Cahokia,1300,2.987733378,0.877950921,-0.260866132,0.917024601,-0.213136089,-0.336853639,0.328002888,0.154673846,-0.204288159
Cahokia,1400,4.009218554,-0.288754518,0.007343714,0.441312276,-0.015332593,0.068726993,-0.341648683,-0.376211304,-0.275867737
Cambodian Basin,300,-0.745259101,-1.361357477,-0.118797194,-0.733253152,0.690088153,0.763639463,-0.595990223,-0.122708137,0.160493664
Cambodian Basin,600,-0.812877453,-1.531349045,0.377137044,-0.490502939,0.720638426,0.56526009,-0.49762887,0.005499895,0.109132919
Cambodian Basin,700,-1.52888643,-0.312898355,-0.709599212,-0.714497544,0.025260335,-0.038413011,-0.20010392,0.499097637,0.297198769
Cambodian Basin,800,-1.742247699,-0.075384962,-0.750333617,-0.645451293,-0.284140003,0.100053478,0.090138324,0.796928666,0.305435788
Cambodian Basin,900,-2.654211194,0.259758655,-0.348470899,-0.21850033,-0.327487284,-0.02988725,0.145001571,0.035660167,0.175662119
Cambodian Basin,1000,-2.338167195,-0.089149944,-0.296043425,-0.316115687,0.111348793,-0.232644203,-0.274117068,-0.353136108,0.172530906
Cambodian Basin,1100,-2.626744089,0.257103469,-0.432622864,-0.157308804,-0.538836595,-0.12871716,0.118224915,0.610871611,0.308421956
Cambodian Basin,1300,-2.221628451,-0.041463768,-0.793124422,-0.003870065,-0.996598153,-0.309302726,0.418454562,0.345937705,0.186713198
Cambodian Basin,1500,-2.349943738,-0.153120201,-0.535550661,-0.037458321,-0.454491233,-0.645300361,-0.352825276,0.22227612,0.331898373
Cambodian Basin,1600,-2.22748717,-0.13168048,0.401428975,0.040667359,-0.756679311,0.079155446,-0.192185408,-0.255231758,0.15818884
Cambodian Basin,1700,-2.275020659,-0.075069496,0.431588355,-0.007462704,-0.671446542,0.109114779,-0.266534428,-0.173194171,0.198570357
Cambodian Basin,1800,-2.167954289,-0.201970723,0.456174197,-0.110016739,-0.579647117,0.090375742,-0.307569937,-0.023204935,0.12355451
Central Java,800,-0.671034463,-1.502014683,-8.90E-06,-0.016704789,1.217428676,0.301317251,-0.268438079,-0.226782479,-0.198326995
Central Java,900,-0.71817828,-1.473135371,-0.01002665,0.012611205,1.172843215,0.206078709,-0.328998322,-0.235242069,-0.181434408
Central Java,1100,-1.419805796,-0.804829689,-0.214340965,0.389025588,0.160834213,0.073380986,0.167844251,0.40562844,-0.06654299
Central Java,1200,-1.199349973,-1.053349062,-0.163805028,0.312707335,0.501308969,-0.072197098,-0.143587636,0.04197494,-0.084738632
Central Java,1300,-1.915634936,-0.072379804,-0.503135424,-0.019944524,0.388541742,0.386284957,0.148331747,-0.06527313,-0.104665279
Central Java,1600,-1.815130004,-0.533247837,-0.601244558,0.325634645,0.447000467,0.251627614,0.346417503,-0.141184087,-0.12126923
Chuuk Islands,1800,4.311823495,0.366582161,0.495809218,-0.439540529,0.385955715,-0.428935431,-0.679234528,0.144594975,0.09175469
Chuuk Islands,1900,1.323493417,-2.097185235,0.816208302,0.885223505,0.119393393,-0.835972842,0.763716444,-0.154022057,0.40245562
Cuzco,100,3.49655081,1.75507674,-0.007562811,-0.390129218,0.207076659,0.110650625,-0.233075448,0.231133101,-0.163383375
Cuzco,200,4.037267855,0.822917841,-0.353420655,0.139814041,-0.206353641,-0.091892852,-0.130050669,-0.240170314,-0.285313163
Cuzco,300,3.753353386,1.161645729,-0.452763269,0.252925605,-0.728269594,0.106090996,0.312908165,0.509755538,-0.209695251
Cuzco,400,4.171592465,0.680573067,-0.276859828,0.0434535,0.117451072,-0.192764278,-0.403348623,-0.530540008,-0.293719114
Cuzco,500,3.924488967,1.01903932,-0.290462629,0.111964911,-0.317123476,-0.068366392,0.043699011,-0.067796372,-0.300178914
Cuzco,700,1.097525812,2.149706139,-1.045309733,0.854900438,0.232902541,0.409433267,-0.348625722,0.065655418,0.27223787
Cuzco,1000,3.548484475,0.568313626,-0.499845548,0.617065708,-0.419960796,0.093811606,-0.484596427,-0.021734484,0.018861266
Cuzco,1300,2.525545259,0.912838621,-1.14713649,0.934631123,-0.140449953,-0.112018461,-0.391065665,0.420367374,0.296530627
Cuzco,1400,0.098231428,2.137513144,-0.574198446,0.622075172,0.23651589,0.082904598,-0.285506189,-0.216339672,0.751805836
Cuzco,1500,-0.029585338,2.253713017,-0.527712183,0.621678009,0.22560795,0.144812339,-0.208466977,-0.507200702,0.675464895
Deccan,-2700,3.396164998,1.183575429,0.348599734,-0.427323135,0.287784826,0.512753085,0.156320571,0.176161014,-0.316974561
Deccan,-1200,3.944596304,-0.252193159,-0.484337104,0.027160432,-0.316540586,0.355599697,-0.109949441,0.151150788,0.067944318
Deccan,-900,3.719735055,-0.174736234,-0.669241976,0.367342199,-0.966304882,0.287731282,0.288374668,-0.364172128,-0.112857592
Deccan,-500,3.099542452,0.600374355,-0.329165533,0.066004444,-0.669867692,0.437137544,0.147715973,-0.101763752,-0.00728078
Deccan,-100,-1.75735439,-0.062606687,0.736703704,-0.291838934,-0.011958733,0.497630357,0.160034532,-0.122043482,0.189353858
Deccan,0,-1.759588299,-0.060575811,0.737516164,-0.291845875,-0.012149376,0.498712346,0.161380979,-0.127126986,0.188019614
Deccan,100,-1.768740397,-0.05225552,0.740844733,-0.291874314,-0.01293042,0.503145142,0.166897239,-0.147953587,0.182553354
Deccan,200,-1.781605647,-0.033742636,0.752983852,-0.304755573,0.005703142,0.507684247,0.156706691,-0.140222782,0.186662741
Deccan,300,-1.898136594,-0.091062983,0.193700891,0.054915935,0.782559981,-0.213039833,0.557291113,0.014845779,-0.447325301
Deccan,500,-1.394330442,-0.606714453,0.357651634,0.086824186,-0.483041353,-0.05359309,0.283309092,-0.125544815,-0.137264445
Deccan,600,-2.274914154,-0.206341708,0.17925753,-0.03578595,0.224016122,-0.495635919,0.216591255,-0.009573845,0.0760306
Deccan,700,-2.317791379,-0.16736147,0.194851744,-0.035919182,0.220356961,-0.474868439,0.242434716,-0.107145659,0.05042138
Deccan,800,-1.947408074,0.211607543,-0.229516179,-0.398873628,-0.138183975,-0.302690018,0.111805983,-0.153020468,0.221994603
Deccan,900,-1.950244427,0.214186108,-0.228484613,-0.398882442,-0.138426031,-0.301316238,0.113515543,-0.159474899,0.220300539
Deccan,1000,-2.412336444,0.080242467,0.435900915,-0.274913661,0.368845445,-0.296624305,0.246024038,0.068739733,0.01119473
Deccan,1200,-1.982850445,-0.495736045,-0.087927181,0.174584061,0.13440775,0.599408096,0.559694404,-0.106342855,-0.131556524
Deccan,1300,-0.618366921,-1.334383934,-0.065990285,0.296675125,0.464410928,0.041040013,0.129305788,-0.0212957,-0.378867882
Deccan,1400,-2.278055147,-0.171684768,-0.177540783,0.364213714,0.370245347,0.56037658,0.323689811,-0.320316554,-0.257623702
Deccan,1500,-2.344060438,-0.098207793,-0.190142349,0.385573814,0.274529478,0.603212475,0.413478946,-0.228179757,-0.255075504
Deccan,1600,-2.408128815,-0.026886988,-0.202374125,0.406307105,0.181622375,0.644791357,0.500633234,-0.1387467,-0.252602082
Finger Lakes,1600,2.962885578,0.927308729,0.958654325,-0.389912576,0.114363192,-0.288053014,-0.036790073,0.452146509,0.35276245
Finger Lakes,1700,2.624532204,1.234910149,1.081711607,-0.390963937,0.085487964,-0.124172377,0.167146216,-0.317813597,0.150674605
Finger Lakes,1800,2.421521244,-0.027725513,2.60840758,0.789497598,0.423243501,-0.421179708,-0.393168922,0.178659772,0.317532536
Garo Hills,1800,3.930892522,0.310091544,0.273629451,-0.343829701,-0.656887517,-0.140314534,0.318696542,0.220846373,0.18732413
Garo Hills,1900,0.717485855,-0.95346006,1.611945095,0.330215483,0.034260933,-0.224361236,1.060705366,0.009818055,0.300018302
Ghanaian Coast,1600,1.890654569,0.958187734,0.901935034,0.345328917,0.044525173,-0.351244459,-0.424029224,-0.373466286,0.439383792
Ghanaian Coast,1800,-0.236652524,0.53791946,0.694418648,-0.8758144,-0.131491116,-0.830529036,-0.093082822,-0.175418236,0.989126107
Iceland,1000,2.599175193,-0.039804644,1.993055244,-0.416358146,0.645667406,-0.524498109,0.059551794,-0.365133401,0.525137477
Iceland,1100,1.936578966,-0.552704756,1.807809278,-0.906594233,0.550411429,-0.881427291,0.033261302,-0.242481127,0.258391798
Iceland,1200,1.263458559,-1.300943743,1.756392551,-1.720582066,0.278019158,-0.938118425,-0.146410336,-0.00622212,-0.523209953
Iceland,1300,0.594204402,-1.180758708,1.243677229,-1.408190534,0.60860377,-1.661234239,0.019048633,-0.168387136,-0.481889015
Kachi Plain,-7500,4.348745171,0.038534694,0.214317367,0.427093845,0.15526735,0.504167034,-0.157470048,0.198846573,-0.222131745
Kachi Plain,-5500,4.527001801,-0.108206429,0.130525466,0.440431364,0.119610122,0.266053723,-0.368232261,0.885197605,-0.031600128
Kachi Plain,-4000,3.425952961,0.747593463,0.138739127,0.566920671,-0.026545738,0.398665558,-0.148544225,0.12857412,-0.146141534
Kachi Plain,-3200,3.727716267,0.345828252,-0.106841019,0.778139728,-0.278335783,0.17324575,-0.138616437,0.280793883,-0.116643769
Kachi Plain,-2500,-0.462800068,-0.020013755,-0.614281871,-0.451531428,0.015306717,0.91063722,0.190838106,0.576765558,0.091747985
Kachi Plain,-1800,3.190743613,0.23090982,0.398490924,0.513412559,0.563086424,-0.071346819,0.358957725,0.237021458,-0.008783345
Kachi Plain,-1300,2.396984136,1.01890355,-1.08026695,0.69544989,0.619433993,1.236020584,0.056921428,-0.795534343,-0.07591825
Kachi Plain,-300,-2.419707093,0.122548541,0.177939909,0.10841128,0.520449535,0.335407717,-0.318162761,-0.240236298,-0.08344446
Kachi Plain,-100,-1.782464792,-0.614971477,-0.363476783,0.437160765,0.449377292,0.446982536,0.522515725,0.110433552,-0.059948862
Kachi Plain,900,-1.20970688,-1.017384393,0.014226223,0.153278282,0.578279939,0.495456818,-0.402627665,-0.246081385,-0.119216199
Kachi Plain,1000,-1.372596247,-0.767701321,0.043032985,0.199492791,0.187100458,0.680291712,-0.179237329,0.040494633,-0.109790202
Kachi Plain,1100,-1.170534694,-0.408850865,0.496386649,-0.029313676,-0.043692367,0.173253483,0.503423357,0.318845609,-0.374455708
Kachi Plain,1200,-2.260417375,-0.226085523,0.010700464,0.056581041,0.927186377,0.487795658,0.109065626,-0.502332136,-0.235682016
Kachi Plain,1300,-3.272979091,0.033977726,-0.199126677,0.46492569,-0.042855767,-0.779836285,-0.37537966,0.642636774,0.50007999
Kachi Plain,1400,-1.543246761,-0.42670159,0.165041244,0.229870325,-0.375437011,0.968035176,0.034101726,0.303604571,-0.115254819
Kachi Plain,1500,-1.275219977,-0.734348058,0.241429812,0.128278123,0.075290222,0.786606551,-0.364951001,-0.237473275,-0.154514721
