0,1,2
0,1.896287,-2.9656734
1,-0.11705143,-2.608471
2,-2.7018821,0.23212779
3,-2.137423,0.415809
4,-1.3379042,0.9673238
5,0.40219364,2.510462
6,2.1765525,-0.57422924
7,1.8871351,-0.63309044
8,1.0520433,-0.8826276
9,-0.16118428,-2.3770514
10,-2.4624367,0.34246913
11,-1.5494113,0.9674243
12,-0.45099825,1.676046
13,2.0644114,1.7315825
14,2.088551,-0.75638944
15,1.3918445,-0.7598089
16,0.21360381,-2.1423054
17,-2.4753687,-0.70457673
18,-2.2600389,0.23220408
19,-2.43098,0.06825975
20,-1.6997384,1.1586491
21,-0.24666637,1.726168
22,2.0932238,1.3840705
23,2.1931798,-0.44452655
24,1.5159609,-0.90920144
25,0.14052373,-2.0049145
26,-2.3844173,-0.95936835
27,-2.8434536,0.6087154
28,-1.62792,0.18429147
29,-2.3520002,0.44649166
30,-1.3123008,0.7310042
31,-0.4882042,1.5882103
32,1.715167,2.2683024
33,2.1978896,-0.5041397
34,1.3956033,-0.7179754
35,0.5574912,-1.6960914
36,-1.8027596,-1.9668571
37,-2.0265007,0.52956253
38,-0.28693312,2.188191
39,2.5894425,0.18493074
40,2.2474449,-0.5763241
0,2.10696,-3.1184092
1,-0.13728316,-2.344891
2,-2.6311262,0.13498472
3,-2.0158134,0.67814404
4,-0.2971501,1.8745182
5,2.0818694,1.7180761
6,2.1093242,-0.6520325
7,1.3209891,-0.9954083
8,0.24596258,-2.1132855
9,-2.265807,-0.69117296
10,-1.5880414,0.22473568
11,-0.8966711,1.2558212
12,0.7133135,2.6922066
13,2.3360875,-0.46717814
14,1.8536004,-0.61209327
15,1.0374726,-1.2225523
16,-0.8281099,-2.7916267
17,-2.226297,0.39545897
18,-2.1438165,0.17253561
19,-1.6533754,0.48065528
20,0.3894883,2.5370824
21,2.6036048,-0.26662034
22,1.9224732,-0.59816056
23,1.4973252,-0.98545533
24,0.30673283,-1.9546697
25,-2.2928565,-1.3117164
26,-1.9744604,0.9122923
27,-0.34324953,1.2327696
28,1.2574953,2.485466
29,2.018851,-0.7249244
30,1.662234,-0.74849105
31,0.36072138,-1.5651487
32,-1.8024175,-2.1407135
33,-2.5237505,1.4085617
34,-1.5951881,0.75375795
35,-0.63120776,1.848465
36,1.8891326,2.6744275
37,2.1071894,-0.50537175
38,1.8713384,-0.6930941
39,0.7400639,-1.3933274
40,-1.1669993,-3.0005677
0,1.8897549,-2.989743
1,0.09698875,-2.5164547
2,-2.744463,0.3953259
3,-2.1959894,0.34196395
4,-0.9337779,0.5399969
5,0.14721173,1.5902611
6,1.9332144,0.70773065
7,1.731263,-0.6247828
8,0.9492762,-1.0795095
9,-0.8343399,-2.6597526
10,-2.4355066,0.565349
11,-2.808513,0.45194566
12,-2.5906856,0.8489366
13,-2.5021827,0.35697252
14,-0.8991556,0.8261386
15,0.26193926,2.0668843
16,2.2720654,0.023146903
17,1.5853419,-0.7246523
18,0.8222994,-1.3220519
19,-0.8752559,-2.8394613
20,-2.116846,0.23865302
21,-2.3134637,0.08429077
22,-0.78663266,1.3546069
23,1.393176,2.8339746
24,2.1851547,-0.5775999
25,1.7124182,-0.74340886
26,0.5861566,-1.6275637
27,-1.3997331,-2.5152385
28,-2.3738048,0.016384942
29,-1.5593691,-0.11698419
30,-0.9516839,0.7958181
31,0.28563,2.2734702
32,2.415713,-0.39546558
33,1.9196322,-0.6469817
34,1.0363761,-1.163794
35,-0.4225299,-2.728478
36,-2.4572644,0.4399399
37,-2.1602395,0.3908135
38,-3.0387459,0.3350215
39,-2.9714534,0.5004559
40,-2.7546072,0.47571948
0,2.1751294,-3.0236409
1,0.0808016,-2.4081402
2,-2.5740697,0.37864214
3,-2.7654727,0.4929557
4,-2.3394263,0.36408615
5,-0.5511125,1.7721618
6,1.5800471,2.6431012
7,2.2671118,-0.46928898
8,1.6919278,-0.6535961
9,0.7224621,-1.2402645
10,-1.4503795,-2.7461648
11,-2.5911193,0.5114926
12,-2.0653322,0.33817542
13,-0.12305801,1.5584722
14,1.868788,1.5501193
15,1.748419,-0.6496693
16,1.1261458,-1.2265191
17,-0.24667522,-2.4022934
18,-2.4942312,0.22782844
19,-2.042928,0.972657
20,-2.3072352,0.11383687
21,-0.20246135,2.0763412
22,2.2241971,0.88030946
23,2.2813435,-0.52615434
24,1.6156151,-0.7568822
25,0.35837716,-1.9160612
26,-2.0241332,-1.6587011
27,-2.145594,0.38926527
28,-1.9684931,0.92637694
29,-0.7455226,1.3962077
30,1.1014508,2.8155942
31,2.129359,-0.66381294
32,1.6667914,-0.85223144
33,0.6765501,-1.3755506
34,-1.3084737,-2.9047718
35,-2.2728999,0.72342616
36,-1.4048007,0.10891093
37,-0.6029723,0.95982075
38,1.0294771,2.4685624
39,2.0719597,-0.40481976
40,1.5416337,-0.8336304
0,1.8385452,-2.9428031
1,0.13201421,-2.1516588
2,-2.701588,0.245989
3,-2.1006706,0.02625682
4,-1.6082045,0.54046494
5,-1.1160934,0.46593085
6,-0.015067046,1.7740879
7,2.431755,0.6245054
8,1.8531723,-0.5653157
9,1.327677,-0.95922345
10,-0.16855346,-2.321848
11,-2.435825,0.085148364
12,-2.4140036,0.798743
13,-1.3836825,1.1856086
14,-0.1272008,2.2112885
15,2.4735968,0.45743752
16,2.3107276,-0.5753021
17,1.3859828,-0.7298077
18,0.38705355,-1.6632506
19,-2.1761682,-1.6053971
20,-1.1153823,0.9082169
21,-0.2576292,2.0047548
22,2.629192,0.5553161
23,2.0795133,-0.5758052
24,1.471044,-1.0321695
25,0.49025595,-1.609469
26,-1.9321064,-2.2337239
27,-2.2035513,0.2719817
28,-1.4137917,0.612426
29,-0.14008196,1.8596693
30,2.3565497,1.1344527
31,2.1001062,-0.43347165
32,1.2990278,-0.8712323
33,0.31072116,-1.841235
34,-2.2505066,-1.4596055
35,-2.5782402,0.5761874
36,-2.5382915,0.42284164
37,-2.844233,0.03686792
38,-2.13077,0.23968644
39,-1.9320693,0.50430256
40,-0.40574902,1.2601719
