PCA0,PCA1
4.359996884,-0.173257191
4.241913314,0.07957801
4.119417099,0.200109147
3.679006924,0.52109522
3.512774909,0.58532316
4.228690411,0.097870942
2.548231572,1.022919279
2.175076111,1.394078963
5.925550583,-1.228218409
5.594683144,-0.770915483
5.693933571,-0.908871684
5.711093331,-0.931802564
5.402220064,-0.540868197
4.677162961,0.198306829
4.116851461,-0.181371569
3.97542001,-0.094733633
2.569778124,1.21634679
2.55960668,1.220579551
2.987733378,0.877950921
4.009218554,-0.288754518
-0.745259101,-1.361357477
-0.812877453,-1.531349045
-1.52888643,-0.312898355
-1.742247699,-0.075384962
-2.654211194,0.259758655
-2.338167195,-0.089149944
-2.626744089,0.257103469
-2.221628451,-0.041463768
-2.349943738,-0.153120201
-2.22748717,-0.13168048
-2.275020659,-0.075069496
-2.167954289,-0.201970723
-0.671034463,-1.502014683
-0.71817828,-1.473135371
-1.419805796,-0.804829689
-1.199349973,-1.053349062
-1.915634936,-0.072379804
-1.815130004,-0.533247837
4.311823495,0.366582161
1.323493417,-2.097185235
3.49655081,1.75507674
4.037267855,0.822917841
3.753353386,1.161645729
4.171592465,0.680573067
3.924488967,1.01903932
1.097525812,2.149706139
3.548484475,0.568313626
2.525545259,0.912838621
0.098231428,2.137513144
-0.029585338,2.253713017
3.396164998,1.183575429
3.944596304,-0.252193159
3.719735055,-0.174736234
3.099542452,0.600374355
-1.75735439,-0.062606687
-1.759588299,-0.060575811
-1.768740397,-0.05225552
-1.781605647,-0.033742636
-1.898136594,-0.091062983
-1.394330442,-0.606714453
-2.274914154,-0.206341708
-2.317791379,-0.16736147
-1.947408074,0.211607543
-1.950244427,0.214186108
-2.412336444,0.080242467
-1.982850445,-0.495736045
-0.618366921,-1.334383934
-2.278055147,-0.171684768
-2.344060438,-0.098207793
-2.408128815,-0.026886988
2.962885578,0.927308729
2.624532204,1.234910149
2.421521244,-0.027725513
3.930892522,0.310091544
0.717485855,-0.95346006
1.890654569,0.958187734
