0,1,2
0,4.359996796,-0.173257187
1,3.977714539,0.195084631
2,3.613494158,0.079578012
3,4.119417191,0.200109154
4,3.679006815,0.521095216
5,3.512774944,1.151334763
6,4.228690624,0.097870938
7,2.548231602,1.022919297
8,2.175076008,1.39407897
0,5.925550461,-1.228218436
1,6.057067871,-1.316384315
2,5.946128368,-1.283179402
3,5.836618423,-1.242204428
4,5.728825092,-1.201185465
5,5.59468317,-0.770915508
6,5.525148869,-0.834786177
7,5.427550793,-0.741764784
8,4.972250938,-1.027603388
9,5.693933487,-0.90887171
10,4.807281494,-0.919091225
11,5.711093426,-0.931802571
12,5.402220249,-0.540868223
13,4.498793125,-0.808373272
14,4.677163124,0.198306829
15,4.11685133,-0.18137157
16,3.975419998,-0.094733633
17,2.569778204,1.216346741
18,2.559606791,1.220579505
19,2.987733364,0.877950907
20,4.009218693,-0.288754523
0,-0.745259106,-1.36135745
1,-1.048559427,-1.368855357
2,-1.148680091,-1.435996056
3,-0.812877476,-1.456684351
4,-1.528886437,-0.312898368
5,-1.742247701,-0.07538496
6,-2.654211283,0.259758651
7,-2.338167191,-0.434018284
8,-2.626744032,0.257103473
9,-1.325138211,-0.891268015
10,-2.221628428,-0.04146377
11,-1.945804954,-0.756478369
12,-2.349943638,-0.759122193
13,-2.227487087,-0.131680474
14,-2.275020599,-0.075069495
15,-2.167954206,-0.201970726
0,-0.671034455,-1.502014637
1,-0.718178272,-1.473135352
2,-1.177369118,-1.222930789
3,-1.419805765,-0.804829717
4,-1.199349999,-1.053349018
5,-1.91563499,-0.072379805
6,-1.824948549,-0.959975183
7,-1.8793571,-0.85765475
8,-1.815129995,-0.533247828
0,4.311823368,0.366582155
1,1.323493361,-2.097185135
0,3.496550798,1.755076766
1,4.037267685,0.822917819
2,3.753353357,1.493605733
3,4.171592236,0.680573046
4,3.924489021,1.019039273
5,2.395433187,1.802426696
6,1.097525835,2.149706125
7,1.558196545,1.829770327
8,1.278992772,1.837407351
9,3.548484564,1.768869042
10,0.719358683,1.841656685
11,0.581680357,1.852138758
12,2.525545359,0.912838638
13,0.098231427,2.137513161
14,-0.029585339,2.253713131
0,3.396164894,1.183575392
1,3.514289141,1.311503887
2,3.373296738,1.297260523
3,3.217055082,1.268623829
4,3.061218977,1.233889341
5,2.908272028,1.197298884
6,2.758142948,1.160486817
7,2.610337496,1.124024987
8,2.464436531,1.087969303
9,2.026526451,1.053079844
10,1.901219845,1.024640083
11,1.757375479,1.008547187
12,1.612261653,0.993674934
13,1.465627193,0.980414808
14,1.317131996,0.970049858
15,3.944596291,-0.252193153
16,1.015318394,0.952095032
17,0.864762306,0.951161981
18,3.719735146,-0.174736232
19,0.581725299,0.340236694
20,0.445024699,0.311628938
21,0.359184474,0.256968826
22,3.099542379,0.600374341
23,0.153571725,0.07895153
24,0.268973082,0.185778007
25,0.210551828,0.216193751
26,-1.757354379,-0.062606685
27,-0.071834356,-0.060575809
28,-1.768740416,-0.052255519
29,-1.781605601,-0.033742636
30,-1.898136616,-0.091062985
31,-0.968096077,0.430872619
32,-1.394330502,-0.606714427
33,-1.132867575,-0.206341714
34,-2.317791462,-0.167361468
35,-1.94740808,0.211607546
36,-1.499969244,0.214186102
37,-2.412336349,0.08024247
38,-1.356541991,0.377767742
39,-1.982850432,0.397013336
40,-0.618366897,-1.334383965
41,-2.278055191,-0.294937879
42,-2.344060421,-0.098207794
43,-2.408128738,-0.026886988
0,2.962885618,0.927308738
1,2.624532223,1.234910131
2,2.421521187,-0.027725514
0,3.930892467,0.310091555
1,0.717485845,-0.953460038
0,1.890654564,0.958187759
1,0.566248357,0.486494064
2,-0.236652523,0.537919462
0,2.599175215,-0.039804645
1,1.768459201,-0.552704751
2,1.26345861,-1.300943732
3,0.594204426,-1.180758715
0,4.348745346,0.038534693
1,4.149155617,-0.26835084
2,4.111327171,-0.290182084
3,3.91976285,0.227514446
4,3.946475744,0.220066026
5,4.077188969,0.116057552
6,3.837699652,-0.067812741
7,3.738957167,-0.076422818
8,3.659442902,-0.072217911
9,3.593292713,-0.062161289
10,3.544581652,-0.052836064
11,3.519532204,-0.047894184
12,3.514061451,-0.046827294
13,3.513893604,-0.046793211
14,3.513889551,-0.046793278
15,3.513887882,-0.04679358
16,3.513883829,-0.046793543
17,3.513798475,-0.046774849
18,3.509982586,-0.046035878
19,3.489928246,-0.042090051
20,3.454027891,-0.108206429
21,3.391788244,-0.021562731
22,3.326483488,-0.007893034
23,3.256390333,0.002969282
24,3.182724953,0.004769593
25,3.104192019,-0.007222662
26,3.012601614,-0.035418056
27,2.7810812,-0.189889014
28,2.905840635,-0.308240831
29,2.869076252,-0.321714878
30,2.804673433,-0.329349965
31,2.742691278,-0.333366752
32,2.68111968,-0.335619748
33,2.619658232,-0.337130785
34,2.558196068,-0.338338554
35,3.425952911,-0.049224045
36,2.435878992,-0.341270596
37,2.375097752,-0.3429721
38,2.317205429,-0.344476998
