,0,1,2
0,0.0,4.359997,-0.17325719
1,2.0,4.2419133,0.07957801
2,3.0,,0.20010915
3,4.0,3.6790068,0.5210952
4,5.0,,0.58532315
5,6.0,4.2286906,0.09787094
6,7.0,2.5482316,1.0229193
7,8.0,2.175076,1.394079
8,0.0,5.9255505,-1.2282184
9,5.0,5.594683,
10,9.0,5.6939335,-0.9088717
11,11.0,5.7110934,-0.9318026
12,12.0,5.4022202,-0.5408682
13,14.0,4.677163,0.19830683
14,15.0,4.1168513,-0.18137157
15,16.0,3.97542,-0.09473363
16,17.0,2.5697782,1.2163467
17,18.0,2.5596068,
18,19.0,2.9877334,
19,20.0,4.0092187,-0.28875452
20,0.0,-0.7452591,-1.3613575
21,3.0,,-1.5313491
22,4.0,-1.5288864,-0.31289837
23,5.0,,-0.07538496
24,6.0,-2.6542113,0.25975865
25,7.0,,-0.089149944
26,8.0,-2.626744,0.25710347
27,10.0,-2.2216284,-0.04146377
28,12.0,,-0.1531202
29,13.0,-2.227487,-0.13168047
30,14.0,-2.2750206,-0.075069495
31,15.0,-2.1679542,-0.20197073
32,0.0,-0.67103446,-1.5020146
33,1.0,-0.7181783,-1.4731354
34,3.0,,-0.8048297
35,4.0,-1.19935,-1.053349
36,5.0,-1.915635,-0.072379805
37,8.0,-1.81513,-0.5332478
38,0.0,4.3118234,0.36658216
39,1.0,1.3234934,-2.0971851
40,0.0,3.4965508,1.7550768
41,1.0,4.0372677,0.8229178
42,2.0,,1.1616458
43,3.0,4.171592,
44,4.0,3.924489,1.0190393
45,6.0,1.0975258,2.1497061
46,9.0,3.5484846,0.5683136
47,12.0,2.5255454,0.91283864
48,13.0,,2.1375132
49,14.0,-0.02958534,2.2537131
50,0.0,3.396165,1.1835754
51,15.0,,-0.25219315
52,18.0,3.7197351,
53,22.0,3.0995424,0.60037434
54,26.0,-1.7573544,-0.062606685
55,27.0,-1.7595882,-0.06057581
56,28.0,-1.7687404,-0.05225552
57,29.0,-1.7816056,-0.033742636
58,30.0,-1.8981366,-0.091062985
59,32.0,-1.3943305,-0.6067144
60,33.0,-2.2749143,-0.20634171
61,34.0,-2.3177915,-0.16736147
62,35.0,-1.9474081,0.21160755
63,36.0,-1.9502444,0.2141861
64,37.0,-2.4123363,0.08024247
65,39.0,-1.9828504,-0.49573603
66,40.0,-0.6183669,-1.334384
67,41.0,-2.2780552,-0.17168477
68,42.0,-2.3440604,-0.098207794
69,43.0,-2.4081287,-0.026886988
70,0.0,2.9628856,0.92730874
71,1.0,,1.2349101
72,2.0,2.4215212,-0.027725514
73,0.0,3.9308925,0.31009156
74,1.0,0.71748585,-0.95346004
75,0.0,1.8906546,0.95818776
