Status,sf0,sfg0,W,Nw,eta,ell0,ellg0,dec_step,dec_rate,s,fix_Z,num_iter,cv_score
/,1,1,5,100,0.002,"[1.0,1.0]",[1],20,0.99,10,1,20,1810.393582434829
/,1,1,5,100,0.002,"[1.0,1.0]",[1],20,0.99,10,1,3000,447.4018772542768
/,1,1,4,100,0.002,"[1.0,1.0]",[1],20,0.99,10,1,3000,458.1124918000818
/,1,1,3,100,0.002,"[1.0,1.0]",[1],20,0.99,10,1,3000,471.39430030831466
/,1,1,5,100,0.002,"[2.0,2.0]",[1],20,0.99,10,1,3000,455.4023873663805
/,1,1,5,100,0.002,"[1.0,1.0]",[3],20,0.99,10,1,3000,442.6208289487871
/,1,1,5,100,0.001,"[0.5,0.5]",[1],20,0.99,10,1,3000,434.925966784721
/,1,1,5,100,0.002,"[1.0,1.0]",[1],20,0.95,10,1,3000,482.4471602617142
/,1,1,5,100,0.002,"[1.0,1.0]",[1],40,0.99,10,1,3000,448.89613988284833
/,2,2,5,100,0.002,"[1.0,1.0]",[1],20,0.99,10,1,3000,594.7790702817447
/,1,1,3,100,0.002,"[1.0,1.0]",[1],20,0.95,10,1,3000,505.66117620155956
